,country_name,country_code,tree_cover,tree_cover_%_2000,tree_cover_loss_2014,cover_gain,forest_type_nat,forest_type_pri,forest_type_pla,certified_forest,total_economy,percentage_economy,employment,reforestation_rate_10,carbon,GHG_emissions,CBD,KYOTO,UNCCD,ITTA,CITES,RAMSAR,WORLD HERITAGE,NLBI,ILO 169,Agricultural land (% of land area) 2013,Population change 2015 %,GDP per capita (current US$) 2015,GDP growth (annual %) 2015,Food production index 2013,loss_14_%,certified_%,loss_quartile,UNFCCC_Annex I Party,UNFCCC_Annex I/II Party,UNFCCC_Non Party,UNFCCC_Non-Annex I Party
0,Afghanistan,AFG,205000,0.0,2.0,303.0,,,,0.0,34.8,0.2,1.0,,38.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,58.1,2.8,590.3,1.5,119.8,0.000975609756098,0.0,1.0,0,0,0,1
1,Albania,ALB,675000,,,,0.77,0.11,0.12,0.0,82.9,0.7,3.0,,50.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43.3,-0.2,3965.0,2.6,127.9,,0.0,,0,0,0,1
2,Algeria,DZA,1000000,1.0,6758.0,32539.0,0.72,,0.28,0.0,229.0,0.1,13.0,46.0,65.0,0.92,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,17.4,1.9,4206.0,3.9,157.5,0.6758,0.0,4.0,0,0,0,1
3,Andorra,AND,19000,42.0,0.0,17.0,,,,0.0,,,,,,,,,,,,,,,,44.3,-3.2,,,,0.0,0.0,1.0,0,0,0,0
4,Angola,AGO,55000000,44.0,175407.0,63797.0,1.0,,,0.0,50.8,0.05,2.0,,4338.0,24.9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,47.5,3.2,4102.1,3.0,213.4,0.318921818182,0.0,3.0,0,0,0,1
5,Antigua and Barbuda,ATG,19000,46.0,22.0,248.0,,,,0.0,,,,,,,,,,,,,,,,20.5,1.0,14128.9,3.7,88.9,0.115789473684,0.0,2.0,0,0,0,0
6,Argentina,ARG,39000000,14.0,204998.0,643048.0,0.89,0.06,0.05,276.0,2.1,0.5,70.0,114.0,3013.0,16.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,54.5,1.0,13431.9,2.4,118.4,0.525635897436,0.000707692307692,3.0,0,0,0,1
7,Armenia,ARM,337000,12.0,38.0,1278.0,0.88,0.05,0.07,0.0,17.0,0.2,5.0,6.0,16.0,8.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,59.1,0.4,3499.8,3.0,129.2,0.0112759643917,0.0,1.0,0,0,0,1
8,Aruba,ABW,24,0.0,0.0,1.0,,,,0.0,,,,,,,,,,,,,,,,11.1,0.4,,,,0.0,0.0,1.0,0,0,0,0
9,Australia,AUS,42000000,6.0,215880.0,1414572.0,0.94,0.04,0.02,11.0,7.7,0.9,67.0,,,5.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,51.6,1.3,56327.7,2.3,119.5,0.514,2.61904761905e-05,3.0,0,1,0,0
