0,NER,,,,,,,,,,,,,,,,,
1,NGA,,,,,,,,,,,,,,,,,
2,NIU,,,,,,,,,,,,,,,,,
3,NFK,,,,,,,,,,,,,,,,,
4,MNP,,,,,,,,,,,,,,,,,
5,NOR,,,,,,,,,,,,,,,,,
6,OMN,,,,,,,,,,,,,,,,,
7,PAK,979KHa,1,38,850,75%,,25%,,,0 ha ,USD 1.3 billion,0.6% of the GDP.,"53 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",174 million metric tons of carbon stocks,6.3% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,PLW,,,,,,,,,,,,,,,,,
9,PSE,,,,,,,,,,,,,,,,,
10,PAN,6MHa,77,"10,557","32,305",98%,,2%,,,"43,413 ha ",USD 92.2 million,0.3% of the GDP.,"5 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",569 million metric tons of carbon stocks,27.5% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,PNG,42.4MHa,,,,48%,52%,,,,"160,670 ha ",USD 358.3 million,2.8% of the GDP.,"11 thousand people are directly employed by the forestry sector, according to 2011 FAO data.","6,110 million metric tons of carbon stocks",86.3% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,PRY,,,,,,,,,,,,,,,,,
13,PER,78MHa,61,"183,543","191,016",9%,89%,2%,"198,403 ha",95%,"954,984 ha ",USD 1.3 billion,0.8% of the GDP.,"61 thousand people are directly employed by the forestry sector, according to 2011 FAO data.","8,560 million metric tons of carbon stocks",44.7% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,PHL,18.4MHa,,,,74%,11%,15%,,,0 ha ,USD 528.7 million,0.2% of the GDP.,"49 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",97.12 kha/year,676 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,PCN,,,,,,,,,,,,,,,,,
16,POL,10MHa,34,"46,340","504,128",,100%,,,,"14,223,591 ha ",USD 7.1 billion,1.6% of the GDP.,"251 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",48.431 kha/year,823 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,PRT,2MHa,26,"48,714","286,549",71%,1%,28%,,,"575,557 ha ",USD 3.3 billion,1.6% of the GDP.,"63 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",102 million metric tons of carbon stocks,0.12% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,PRI,524KHa,59,707,"6,411",100%,,,,,0 ha ,25 million metric tons of carbon stocks,,Puerto Rico stories,,,,[]
19,QAT,,,,,,,,,,,,,,,,,
