0,GAB,25MHa,94,"41,704","39,070",44%,56%,,,,"2,053,505 ha ",USD 422.2 million,1.8% of the GDP.,"21 thousand people are directly employed by the forestry sector, according to 2011 FAO data.","2,992 million metric tons of carbon stocks",6.4% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,GMB,5KHa,0,11,25,100%,,,,,0 ha ,USD 4.8 million,0.6% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",32 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,GEO,3MHa,45,104,"4,788",80%,18%,2%,,,0 ha ,USD 61.4 million,0.5% of the GDP.,"11 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0 kha/year,212 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,DEU,13MHa,35,"15,981","258,493",54%,,46%,,,"8,323,961 ha ",USD 26.1 billion,0.8% of the GDP.,"317 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",48 kha/year,"1,189 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,GHA,7MHa,30,"93,511","134,527",92%,4%,4%,,,"1,675 ha ",USD 1.3 billion,3.5% of the GDP.,"37 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",20 kha/year,713 million metric tons of carbon stocks,53.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,GIB,,,,,,,,,,,,,,,,,
6,GRC,4MHa,28,"2,688","35,571",97%,,3%,,,0 ha ,USD 1.0 billion,0.4% of the GDP.,"33 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",82 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,GRL,,,,,,,,,,,,,,,,,
8,GRD,29KHa,81,80,72,85%,14%,1%,,,0 ha ,,,,,,,[]
9,GLP,,,,,,,,,,,,,,,,,
10,GUM,,,,,,,,,,,,,,,,,
11,GTM,8MHa,71,"48,654","109,466",57%,38%,5%,,,"464,875 ha ",USD 462.4 million,1.0% of the GDP.,"15 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",10 kha/year,271 million metric tons of carbon stocks,40.9% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,GGY,2KHa,18,0,18,,,,,,0 ha ,0 kha/year,,Guernsey stories,,,,[]
13,GIN,8MHa,33,"86,406","29,669",97%,1%,2%,,,0 ha ,USD 220.1 million,4.3% of the GDP.,"10 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",602 million metric tons of carbon stocks,47.4% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,GNB,1MHa,32,"10,315","6,529",100%,,,,,0 ha ,USD 20.9 million,2.4% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",94 million metric tons of carbon stocks,49.6% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,GUY,19MHa,91,"8,083","11,390",61%,39%,,,,0 ha ,USD 95.7 million,4.1% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.027 kha/year,"4,809 million metric tons of carbon stocks",52.9% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,HTI,858KHa,32,"2,998","4,806",67%,,33%,,,0 ha ,USD 7.5 million,0.1% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.8 kha/year,5 million metric tons of carbon stocks,2.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,HMD,,,,,,,,,,,,,,,,,
18,VAT,,,,,,,,,,,,,,,,,
19,HND,8MHa,69,"44,608","58,291",90%,10%,,,,"87,755 ha ",USD 146.0 million,0.8% of the GDP.,"13 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",292 million metric tons of carbon stocks,58.5% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
